State,City,Hospital Id,Hospital Name,Address,Pin Code,PhONE NO,Mobile,Fax,Contactperson- (Desig),Email,LATITUDE,LONGITUDE
Andhra Pradesh,Visakhapatnam,HOS-VIZ-1288,A.N. Beach Hospital,"15-9-13/24, Krishna Nagar, Near Beach Road, Visakhapatnam",530002,0891-2525617,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-490,Abhaya Critical Care,"18-1-34, Opp. K.G.H. Gatemaharanipeta",530002,0891-2703444,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-3,Aditya Hospital,"#4-1-16, Boggulakunta, Tilak Road, Adids, Hyderbad, Abids",500001,040-39111333,NA,0,NA,NA,0,0
Andhra Pradesh,Guntur,HOS-HYD-1225,Amaravathi Institute Of Medical Sciences Pvt Ltd,"Old Club Road, Kothapeta. Oldclub Road",522001,0863-2256699,NA,0,NA,NA,0,0
Andhra Pradesh,Gajuwaka,HOS-HYD-68,Amrutha Nursing Home Private Limited,"D.No.10-7-85, Kailash Nagar",530026,0891-2517345,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-491,Annapoorna Hospital,"47-9-32, 3Rd Lane, Dwarakanagar, Visakahpatnam",530016,0891-2755875,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-213,Anukrushna Hospitals,"10-191/2, Vasanthapuri Colonymalkajgiri",500047,040-27057258,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-357,Anupama Surgical & Children Hospital,"47-9-21, Dwarakanagar, Visakha Patnam",530016,0891-6662122,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-260,Apollo Hospitals Enterprise Ltd,"Dmrl Cross Road, Santhosh Nagar, Kanchanbag",500058,040-24342222,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-226,Apollo Emergency & Clinic,16-2-705/5/5Malakpet,500036,040-24557551,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-4,Apollo Emergency & Clinic,"Opp Sai Baba Temple, Bhagyanagar Colony, Kukkatpally Housing Board",500072,040-23160039,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-5,Apollo Emergency & Clinic,"Mehdipatnam, Meeraj Complex",500028,040-23590677,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-6,Apollo Emergency Hospital,3-5-836 Hyderguda,500029,040-23242827,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-227,Apollo Hospitals,"Waltair Main Road, Vishakapatnam",530017,0891-2529618,NA,0,NA,NA,0,0
Andhra Pradesh,Ananthapur,HOS-HYD-228,Aasha Hospitals,"7-201, Court Road",515001,08854-274194,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-8,Apollo Hospitals,Jubilee Hills,500033,040-23607777,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-199,Aravindam Orthopaedic And Physiotherapy Centre,"D.No-6-18-3, Kokkondavari Street, T Nagar.Rajahundry",533101,0883-2428488,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-9,Archana Hospital,"Ram Nagar, Himayatnagar",560048,040-27614515,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-10,Bristlecone Hospitals Private Limited,"3-4-136/A, Street #6 Barkatpurbarkhatpura Branch",500027,040-2756365,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1466,Asian Institute Of Gastroenterology,"6-3-661, Somajiguda, Near Red Rose Hotel",500082,040-23378888,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-4893,Poojitha Hospital,"#7-2-1799/4A/2, Czech Colony, Sanath Nagar, Ranga Reddy",500018,040-23711366,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-460,Aware Global Hospitals,"Shanthivanam, Nagarjuna Sagar Roadnagarjuna Sagar Road",500035,040-24031903,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-3851,Azam Hospital,"21-4-189, Azam Hospital, Hussaini Alam, Hyderbad",500002,040-24573860,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-2012,Apex Hospital,"75-6-23, Prakash Nagar, East Godavari",533103,0883-2439191,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-2078,Aravind Eye Hospital Private Limited,"# 12-2-824/A/1, Santosh Nagar Colony, Opp:St.Ann'S Womens College, Mehdipatnam.",500028,040-23513743,NA,0,NA,NA,0,0
